"transcript","20200717-NSP1-HEK-1-setB","20200717-NSP1-HEK-2-setB","20200717-NSP1-HEK-3-setB","20200717-NSP2-HEK-1-setB","20200717-NSP2-HEK-2-setB","20200717-NSP2-HEK-3-setB"
"TOR1A-201",24,32,23,32,46,36
"TOR1AIP1-212",85,101,53,109,136,98
"TOR1AIP2-201",131,154,91,175,200,169
"TOR1B-201",19,28,14,24,28,21
"TOR2A-203",20,13,9,23,32,15
"TOR3A-203",39,30,20,30,39,35
"TOR4A-201",2,1,0,1,0,0
"TOX-201",3,2,2,7,4,4
"TOX2-203",5,15,4,14,19,10
"TOX3-201",9,12,10,12,11,27
"TOX4-212",74,92,53,106,118,84
"TP53-201",116,123,85,166,150,130
"TP53AIP1-205",0,1,0,0,0,0
"TP53BP1-201",229,296,193,316,370,337
"TP53BP2-201",210,241,144,221,267,212
"TP53I11-220",2,6,5,10,8,19
"TP53I13-201",30,24,14,31,24,34
"TP53I3-201",7,3,3,8,5,2
"TP53INP1-201",2,1,3,1,2,1
"TP53INP2-202",6,6,2,2,7,5
"TP53RK-202",32,33,15,23,38,34
"TP53TG3-201",0,0,0,0,0,0
"TP53TG3B-201",0,0,0,0,0,0
"TP53TG3C-202",0,0,0,0,0,0
"TP53TG3D-202",0,0,0,0,0,0
"TP53TG3E-202",0,0,0,0,0,0
"TP53TG3F-202",0,0,0,0,0,0
"TP53TG5-201",0,3,0,0,3,1
"TP63-201",0,0,0,0,0,0
"TP73-208",11,23,15,22,32,18
"TPBG-201",10,11,5,12,11,10
"TPBGL-201",3,0,0,0,2,0
"TPCN1-201",14,24,13,20,31,24
"TPCN2-201",6,6,7,11,10,14
"TPD52-202",3,1,1,5,3,6
"TPD52L1-213",36,37,24,63,59,59
"TPD52L2-203",39,37,26,47,47,35
"TPD52L3-201",0,0,0,0,0,0
"TPGS1-201",13,8,4,14,11,9
"TPGS2-201",164,223,145,249,312,257
"TPH1-201",1,2,2,1,1,0
"TPH2-201",0,1,0,0,0,0
"TPI1-202",500,599,340,779,891,697
"TPK1-201",1,0,0,1,2,3
"TPM1-207",61,56,48,76,77,75
"TPM2-202",12,8,8,6,9,14
"TPM3-210",351,410,276,472,558,406
"TPM4-222",142,184,92,290,314,232
"TPMT-201",20,30,19,35,37,31
"TPO-202",0,0,0,0,0,0
"TPP1-201",13,14,12,26,38,35
"TPP2-202",61,81,48,78,88,82
"TPPP-201",6,2,6,5,3,9
"TPPP2-201",0,0,0,0,0,0
"TPPP3-205",3,2,4,4,16,3
"TPR-201",1224,1438,821,1609,1873,1562
"TPRA1-212",16,23,14,23,27,21
"TPRG1-201",0,0,0,0,0,0
"TPRG1L-202",9,6,5,5,10,5
"TPRKB-201",17,22,15,29,43,38
"TPRN-202",35,46,19,35,41,23
"TPRX1-202",0,0,0,0,1,0
"TPSAB1-201",0,0,0,0,0,0
"TPSB2-203",0,0,0,0,0,0
"TPSD1-201",0,0,0,0,0,0
"TPSG1-201",1,0,3,3,0,1
"TPST1-201",13,13,11,14,16,17
"TPST2-201",26,16,18,17,22,20
"TPT1-212",640,790,480,670,846,758
"TPTE-204",1,2,2,0,1,1
"TPTE2-201",0,1,0,1,1,0
"TPTEP2-CSNK1E-201",0,0,0,0,0,0
"TPX2-201",282,374,242,476,571,417
"TRA2A-201",151,193,128,166,214,176
"TRA2B-205",278,393,241,381,443,383
"TRABD-201",104,145,93,133,173,162
"TRABD2A-201",0,0,0,3,0,0
"TRABD2B-202",6,12,6,5,19,5
"TRADD-201",3,3,3,2,12,0
"TRAF1-201",3,1,0,1,3,2
"TRAF2-201",35,38,25,31,43,23
"TRAF3-208",55,73,59,55,104,65
"TRAF3IP1-201",123,119,83,130,131,119
"TRAF3IP2-201",16,14,6,19,20,27
"TRAF3IP3-202",0,1,0,0,0,0
"TRAF4-201",32,55,29,38,50,53
"TRAF5-202",22,28,17,14,23,21
"TRAF6-202",21,21,15,33,41,36
"TRAF7-201",59,70,50,76,99,82
"TRAFD1-201",50,76,53,79,70,103
"TRAIP-201",32,38,13,31,45,35
"TRAK1-201",63,87,69,96,112,110
"TRAK2-201",51,62,35,50,69,43
"TRAM1-201",87,112,84,84,139,86
"TRAM1L1-201",2,2,4,4,5,3
"TRAM2-201",11,13,5,8,10,8
"TRANK1-205",1,1,1,0,1,3
"TRAP1-201",375,438,291,526,652,545
"TRAPPC1-201",29,35,22,50,61,50
"TRAPPC10-201",58,68,39,70,54,38
"TRAPPC11-201",55,58,26,72,72,51
"TRAPPC12-201",44,56,35,67,65,56
"TRAPPC13-204",23,35,12,39,40,33
"TRAPPC2-203",3,1,2,5,8,1
"TRAPPC2B-202",2,1,1,2,0,1
"TRAPPC2L-201",49,58,25,80,55,64
"TRAPPC3-204",25,27,23,34,29,24
"TRAPPC3L-202",0,0,0,0,0,0
"TRAPPC4-214",21,24,18,20,22,24
"TRAPPC5-204",0,0,0,0,0,0
"TRAPPC6A-202",0,2,2,3,3,1
"TRAPPC6B-201",19,23,1,14,16,11
"TRAPPC8-201",194,239,123,232,278,216
"TRAPPC9-217",28,34,25,51,54,44
"TRARG1-201",0,0,0,0,0,0
"TRAT1-201",0,0,0,0,0,0
"TRDMT1-203",7,4,4,10,10,8
"TRDN-201",0,0,0,0,0,0
"TREH-201",1,0,0,0,0,0
"TREM1-201",0,0,0,0,0,0
"TREM2-202",0,0,0,0,0,0
"TREML1-202",0,0,0,1,0,0
"TREML2-201",0,0,0,0,0,0
"TREML4-201",0,0,0,0,0,0
"TRERF1-204",37,43,33,45,52,37
"TREX1-205",0,0,0,0,0,0
"TREX2-201",1,0,1,0,0,0
"TRH-201",0,0,0,0,0,0
"TRHDE-201",8,10,17,13,19,16
"TRHR-202",0,0,0,0,0,0
"TRIAP1-202",17,20,17,15,27,16
"TRIB1-201",103,119,58,71,89,96
"TRIB2-201",8,8,5,11,8,13
"TRIB3-201",5,6,3,13,10,12
"TRIL-201",0,0,0,0,0,1
"TRIM10-204",0,0,0,0,0,0
"TRIM11-201",50,56,44,40,57,42
"TRIM13-202",16,33,11,21,17,25
"TRIM14-201",28,17,18,35,30,25
"TRIM15-207",0,0,0,0,0,0
"TRIM16-226",0,1,2,2,0,1
"TRIM16L-201",4,6,5,3,0,4
"TRIM17-203",6,5,7,4,7,6
"TRIM2-201",27,53,31,66,69,58
"TRIM21-201",18,8,7,23,14,11
"TRIM22-201",0,0,0,1,0,1
"TRIM23-201",21,29,22,35,45,38
"TRIM24-201",195,244,137,249,279,244
"TRIM25-201",53,68,55,70,93,67
"TRIM26-268",40,42,17,36,54,48
"TRIM27-202",156,196,96,157,204,168
"TRIM28-201",586,682,465,780,938,730
"TRIM29-201",0,0,0,1,0,0
"TRIM3-203",21,16,15,12,15,8
"TRIM31-210",0,0,0,0,0,0
"TRIM32-203",29,38,18,36,50,37
"TRIM33-201",212,267,153,252,294,259
"TRIM34-204",0,0,0,0,0,0
"TRIM35-201",23,22,14,22,14,20
"TRIM36-201",11,14,8,13,15,15
"TRIM37-201",153,174,97,173,201,164
"TRIM38-201",13,16,6,14,18,18
"TRIM39-202",7,1,2,2,7,1
"TRIM39-RPP21-201",0,0,0,0,0,0
"TRIM4-203",27,42,25,55,55,33
"TRIM40-205",0,0,0,1,0,0
"TRIM41-201",47,75,49,68,75,64
"TRIM42-201",0,0,0,0,0,0
"TRIM43-201",0,0,0,0,0,0
"TRIM43B-202",0,0,0,0,0,0
"TRIM44-201",81,74,51,87,101,81
"TRIM45-201",14,9,11,14,17,29
"TRIM46-201",0,0,2,1,0,0
"TRIM47-201",3,6,1,4,3,4
"TRIM48-201",0,0,0,0,0,0
"TRIM49-201",0,0,0,0,0,0
"TRIM49B-202",0,0,0,0,0,0
"TRIM49C-201",0,0,0,0,0,0
"TRIM49D1-202",0,0,0,0,0,0
"TRIM49D2-202",0,0,0,0,0,0
"TRIM5-202",4,3,1,5,9,3
"TRIM50-201",0,0,0,0,0,0
"TRIM51-202",0,1,0,1,0,0
"TRIM51GP-202",1,0,0,0,0,0
"TRIM52-205",53,47,34,34,31,22
"TRIM54-202",1,0,0,1,0,0
"TRIM55-202",1,0,0,0,0,2
"TRIM56-201",11,9,4,14,10,6
"TRIM58-201",11,20,8,15,14,12
"TRIM59-201",2,3,1,3,3,1
"TRIM6-202",1,0,2,0,1,3
"TRIM6-TRIM34-201",0,0,0,0,0,0
"TRIM60-205",0,0,1,0,0,0
"TRIM61-201",2,3,2,3,5,6
"TRIM62-201",2,3,6,7,8,5
"TRIM63-201",0,0,0,0,0,0
"TRIM64-201",0,0,0,0,0,0
"TRIM64B-201",0,0,0,0,1,0
"TRIM64C-201",1,0,0,0,0,0
"TRIM65-201",50,47,51,49,78,55
"TRIM66-210",13,13,12,10,12,12
"TRIM67-201",0,0,0,0,0,0
"TRIM68-201",15,9,8,8,15,12
"TRIM69-206",0,0,2,0,0,0
"TRIM7-201",7,2,3,9,6,2
"TRIM71-201",17,18,13,16,23,18
"TRIM72-201",2,0,2,0,1,0
"TRIM73-201",0,0,0,0,0,0
"TRIM74-201",0,0,0,0,0,0
"TRIM75P-201",0,0,1,0,1,0
"TRIM77-201",0,0,0,0,0,0
"TRIM8-209",59,84,39,54,72,72
"TRIM9-201",21,31,12,47,39,51
"TRIML1-201",0,0,0,0,0,0
"TRIML2-207",0,0,0,0,1,0
"TRIO-202",263,301,166,310,351,295
"TRIOBP-205",38,32,43,54,90,47
"TRIP10-202",96,103,65,117,152,114
"TRIP11-201",152,151,82,164,195,176
"TRIP12-203",602,648,455,779,973,786
"TRIP13-201",77,89,69,130,138,109
"TRIP4-201",34,34,21,43,46,26
"TRIP6-201",83,110,68,79,124,83
"TRIQK-214",2,1,0,6,6,6
"TRIR-201",183,246,135,235,331,262
"TRIT1-201",36,31,28,40,50,30
"TRMO-203",21,18,10,24,21,16
"TRMT1-217",98,98,72,125,150,123
"TRMT10A-201",19,20,12,27,32,28
"TRMT10B-201",14,13,9,7,8,16
"TRMT10C-201",87,131,67,125,148,133
"TRMT11-201",41,48,40,55,54,56
"TRMT112-206",107,104,73,115,142,151
"TRMT12-201",26,40,27,23,29,30
"TRMT13-202",51,65,45,57,54,47
"TRMT1L-201",68,68,46,88,134,98
"TRMT2A-201",80,116,75,83,91,84
"TRMT2B-202",28,21,13,37,36,30
"TRMT44-201",30,25,27,37,35,28
"TRMT5-201",66,62,40,48,87,64
"TRMT6-201",72,108,55,85,143,87
"TRMT61A-202",17,17,11,12,15,10
"TRMT61B-201",32,28,25,31,49,26
"TRMT9B-203",3,3,6,1,6,0
"TRMU-201",54,73,30,34,47,41
"TRNAU1AP-201",22,23,12,24,29,24
"TRNP1-201",3,0,2,2,3,1
"TRNT1-201",23,34,21,21,30,20
"TRO-201",67,83,35,69,101,65
"TROAP-201",46,66,44,69,78,52
"TROVE2-205",178,219,123,233,234,233
"TRPA1-201",4,9,3,10,15,10
"TRPC1-201",25,20,10,17,24,11
"TRPC3-201",3,5,7,4,7,10
"TRPC4-206",0,0,1,0,1,1
"TRPC4AP-201",64,77,54,68,111,88
"TRPC5-201",0,0,0,0,0,1
"TRPC5OS-201",0,0,0,0,0,0
"TRPC6-201",0,0,0,0,0,0
"TRPC7-206",0,1,0,0,0,0
"TRPM1-202",0,0,0,1,1,0
"TRPM2-203",0,0,0,5,1,0
"TRPM3-214",1,2,0,1,0,0
"TRPM4-201",15,9,8,13,13,10
"TRPM5-201",0,0,1,0,1,0
"TRPM6-202",18,22,13,22,19,16
"TRPM7-201",119,121,92,130,128,139
"TRPM8-201",2,0,0,0,0,0
"TRPS1-203",91,83,63,91,100,94
"TRPT1-201",12,10,5,15,19,11
"TRPV1-207",3,9,5,5,3,2
"TRPV2-201",1,0,0,1,0,0
"TRPV3-209",1,0,0,0,0,0
"TRPV4-202",7,1,6,5,14,7
"TRPV5-201",0,0,0,0,0,2
"TRPV6-201",0,2,0,0,0,0
"TRRAP-201",528,615,402,710,915,649
"TRUB1-201",57,63,46,51,88,47
"TRUB2-201",28,45,24,40,46,26
"TSACC-205",1,0,0,0,0,4
"TSC1-201",66,68,50,64,76,77
"TSC2-201",195,214,155,235,284,222
"TSC22D1-201",19,42,21,30,39,50
"TSC22D2-201",79,89,60,65,102,87
"TSC22D3-201",9,20,12,42,32,36
"TSC22D4-201",27,19,24,22,30,23
"TSEN15-216",15,19,16,18,30,19
"TSEN2-201",40,51,23,43,36,45
"TSEN34-201",44,43,28,51,51,48
"TSEN54-201",41,51,22,40,45,54
"TSFM-204",82,80,64,90,123,64
"TSG101-201",42,54,30,54,85,75
"TSGA10-203",9,2,3,4,10,2
"TSGA10IP-203",0,1,0,0,0,0
"TSGA13-204",0,0,0,0,0,0
"TSHB-201",0,0,0,0,0,0
"TSHR-203",0,0,0,0,0,0
"TSHZ1-201",111,133,72,93,101,94
"TSHZ2-202",23,16,10,19,26,19
"TSHZ3-201",46,52,50,56,55,63
"TSKS-201",1,0,1,0,0,1
"TSKU-203",6,6,3,9,5,8
"TSLP-201",1,4,0,1,3,2
"TSN-201",40,64,38,67,64,62
"TSNARE1-208",1,2,2,6,6,8
"TSNAX-201",28,50,29,50,53,45
"TSNAX-DISC1-204",0,0,0,0,0,0
"TSNAXIP1-201",3,1,2,6,7,0
"TSPAN1-201",0,0,0,0,0,0
"TSPAN10-203",1,5,0,2,7,2
"TSPAN11-201",0,2,0,0,0,0
"TSPAN12-201",22,21,12,25,22,22
"TSPAN13-201",14,19,8,23,19,21
"TSPAN14-207",6,19,8,11,12,14
"TSPAN15-201",3,6,4,14,10,9
"TSPAN16-201",1,0,0,0,0,0
"TSPAN17-202",10,23,14,20,24,17
"TSPAN18-201",6,7,6,7,5,5
"TSPAN19-204",2,0,0,0,0,0
"TSPAN2-202",0,0,1,6,0,4
"TSPAN3-201",67,62,35,111,94,72
"TSPAN31-201",12,7,3,14,20,23
"TSPAN32-201",0,0,0,0,0,0
"TSPAN33-201",9,9,2,11,7,11
"TSPAN4-204",5,9,3,8,4,3
"TSPAN5-201",17,13,5,14,9,18
"TSPAN6-201",31,58,36,51,65,45
"TSPAN7-202",0,2,1,3,4,0
"TSPAN8-202",0,0,0,0,0,1
"TSPAN9-201",3,5,1,3,7,1
"TSPEAR-201",0,0,0,0,1,0
"TSPO-203",5,12,6,12,26,13
"TSPO2-202",0,0,0,0,0,0
"TSPOAP1-202",0,0,0,1,0,1
"TSPY1-202",0,0,0,0,0,0
"TSPY10-201",0,0,0,0,0,0
"TSPY2-201",0,0,0,0,0,0
"TSPY3-203",0,0,0,0,0,0
"TSPY4-202",0,0,0,0,0,0
"TSPY8-201",0,0,0,0,0,0
"TSPYL1-201",276,283,215,296,345,295
"TSPYL2-201",121,121,85,182,216,158
"TSPYL4-201",26,36,15,53,44,26
"TSPYL5-201",0,0,0,0,0,0
"TSPYL6-201",0,0,0,0,2,0
"TSR1-201",329,411,275,403,555,482
"TSR2-201",82,91,53,87,96,88
"TSR3-201",119,133,118,154,202,139
"TSSC4-201",21,24,9,7,19,8
"TSSK1B-201",0,0,0,0,1,0
"TSSK2-201",0,0,0,0,0,0
"TSSK3-201",12,10,9,8,14,9
"TSSK4-201",2,8,6,3,1,3
"TSSK6-201",0,2,1,2,2,2
"TST-202",16,8,8,12,21,15
"TSTA3-201",39,61,34,58,70,74
"TSTD1-201",0,0,0,0,0,0
"TSTD2-201",21,28,24,35,44,36
"TSTD3-201",5,0,0,0,0,2
"TTBK1-201",0,3,1,0,1,0
"TTBK2-201",23,37,35,37,40,46
"TTC1-201",191,243,159,267,347,260
"TTC12-219",9,23,9,32,17,25
"TTC13-201",59,78,39,74,76,65
"TTC14-201",82,91,58,92,126,102
"TTC16-201",1,1,0,1,0,0
"TTC17-201",90,90,60,115,148,123
"TTC19-201",67,98,63,89,102,111
"TTC21A-205",4,5,2,4,1,3
"TTC21B-201",51,45,23,56,78,68
"TTC22-201",0,1,0,3,0,0
"TTC23-203",28,25,15,18,41,43
"TTC23L-203",1,1,0,1,1,0
"TTC24-201",0,0,0,0,0,1
"TTC25-201",8,8,4,7,7,6
"TTC26-203",14,25,14,30,34,24
"TTC27-201",59,71,46,80,90,83
"TTC28-201",168,149,117,159,219,175
"TTC29-201",0,0,0,0,0,0
"TTC3-204",287,399,220,419,463,472
"TTC30A-201",6,7,1,11,16,5
"TTC30B-201",7,5,1,5,14,10
"TTC31-201",30,24,24,43,33,27
"TTC32-201",2,0,2,1,3,3
"TTC33-201",18,25,12,35,23,32
"TTC34-202",0,1,0,0,0,0
"TTC36-201",3,3,3,3,0,1
"TTC37-216",221,243,142,304,370,310
"TTC38-201",29,29,13,23,29,32
"TTC39A-208",5,11,7,14,16,11
"TTC39B-208",16,9,6,17,16,16
"TTC39C-201",27,23,13,38,31,19
"TTC4-201",4,7,8,8,10,12
"TTC5-201",31,42,22,37,46,41
"TTC6-206",6,1,0,1,2,0
"TTC7A-201",11,21,18,17,30,23
"TTC7B-201",65,75,46,78,99,76
"TTC8-217",34,34,16,46,51,45
"TTC9-201",4,8,8,5,10,6
"TTC9B-201",0,0,0,0,1,0
"TTC9C-202",14,24,11,20,15,18
"TTF1-201",58,82,32,103,110,110
"TTF2-201",299,303,207,367,426,361
"TTI1-202",78,92,55,81,127,79
"TTI2-206",7,18,8,19,16,13
"TTK-202",98,136,76,136,138,156
"TTL-201",78,103,63,89,127,76
"TTLL1-201",4,5,2,10,8,10
"TTLL10-203",0,0,0,0,0,0
"TTLL11-201",11,29,12,15,19,7
"TTLL12-201",307,343,221,314,440,366
"TTLL13P-202",0,0,0,0,1,0
"TTLL2-201",0,3,1,0,3,2
"TTLL3-209",4,8,3,3,6,3
"TTLL4-202",77,127,88,138,149,128
"TTLL5-202",89,103,69,106,136,113
"TTLL6-202",0,0,1,2,2,0
"TTLL7-201",15,19,14,32,23,35
"TTLL8-201",1,0,0,0,0,1
"TTLL9-206",1,0,0,0,0,0
"TTN-202",65,78,47,65,65,73
"TTPA-201",4,0,0,0,1,0
"TTPAL-202",10,12,10,12,23,10
"TTR-201",0,0,0,0,0,0
"TTYH1-202",3,2,1,0,1,1
"TTYH2-201",10,11,7,18,16,9
"TTYH3-201",59,79,35,89,130,95
"TUB-202",94,115,70,97,112,87
"TUBA1A-202",34,50,47,50,72,86
"TUBA1B-202",519,586,319,756,936,675
"TUBA1C-201",205,244,188,299,370,274
"TUBA3C-201",0,0,0,0,0,0
"TUBA3D-201",0,0,1,0,0,0
"TUBA3E-201",0,1,0,0,0,0
"TUBA4A-201",5,7,10,15,16,11
"TUBA4B-203",0,0,0,0,0,0
"TUBA8-202",2,1,4,2,3,5
"TUBAL3-201",0,0,0,0,0,0
"TUBB-205",1780,2065,1363,2263,2711,2119
"TUBB1-201",1,0,1,1,0,1
"TUBB2A-201",19,21,18,38,46,38
"TUBB2B-201",36,31,21,59,68,50
"TUBB3-201",0,1,0,0,0,0
"TUBB4A-201",33,32,31,44,53,30
"TUBB4B-201",469,539,353,710,847,647
"TUBB6-201",80,101,61,149,163,131
"TUBB8-206",0,1,0,1,0,1
"TUBB8P12-201",2,0,0,5,10,1
"TUBD1-201",5,23,12,14,16,33
"TUBE1-202",41,47,25,61,72,68
"TUBG1-201",125,172,113,207,238,179
"TUBG2-201",4,8,3,4,9,13
"TUBGCP2-203",147,181,126,222,232,212
"TUBGCP3-201",34,52,26,52,43,33
"TUBGCP4-208",46,57,35,73,65,52
"TUBGCP5-205",46,65,38,56,78,77
"TUBGCP6-201",108,114,94,125,127,82
"TUFM-201",586,820,503,957,1151,864
"TUFT1-203",17,16,14,25,26,31
"TULP1-201",0,0,0,0,0,0
"TULP2-201",2,0,0,3,1,3
"TULP3-202",30,33,24,31,44,34
"TULP4-202",96,100,50,86,115,76
"TUNAR-201",0,0,0,0,0,0
"TUSC1-201",19,21,6,16,20,10
"TUSC2-201",4,6,5,7,5,14
"TUSC3-203",31,44,23,45,72,41
"TUT1-205",12,15,12,17,32,19
"TUT4-201",193,205,113,247,239,219
"TUT7-206",98,133,74,120,160,126
"TVP23A-201",0,0,0,0,0,0
"TVP23B-201",3,9,4,5,6,4
"TVP23C-203",1,0,2,0,2,0
"TVP23C-CDRT4-203",0,0,0,0,0,0
"TWF1-201",59,71,62,80,93,69
"TWF2-201",18,19,15,23,27,25
"TWIST1-201",19,19,8,19,17,15
"TWIST2-202",3,2,0,6,4,1
"TWISTNB-201",105,129,90,130,170,134
"TWNK-201",74,61,42,38,45,36
"TWSG1-201",11,10,4,10,14,17
"TXK-201",0,1,1,0,2,1
"TXLNA-201",248,328,188,203,248,159
"TXLNB-201",1,1,3,4,3,5
"TXLNG-201",311,303,177,285,341,263
"TXN-202",90,110,61,163,186,133
"TXN2-201",43,36,36,53,55,49
"TXNDC11-201",42,48,49,57,70,45
"TXNDC12-201",16,11,3,18,16,12
"TXNDC15-201",61,43,38,43,80,61
"TXNDC16-201",31,40,23,45,49,28
"TXNDC17-201",18,19,5,29,39,31
"TXNDC2-202",0,1,2,0,0,3
"TXNDC5-201",84,92,45,65,80,110
"TXNDC8-202",0,0,0,0,0,0
"TXNDC9-201",19,21,14,23,32,25
"TXNIP-204",67,51,55,25,36,24
"TXNL1-201",102,110,52,118,145,111
"TXNL4A-201",65,73,49,72,90,94
"TXNL4B-201",7,2,1,6,2,5
"TXNRD1-205",137,164,117,192,237,173
"TXNRD2-204",36,37,18,40,58,37
"TXNRD3-205",11,13,10,20,22,25
"TYK2-205",50,83,46,74,78,69
"TYMP-201",2,1,1,3,7,2
"TYMS-203",202,214,143,246,255,223
"TYR-201",0,0,0,0,0,0
"TYRO3-201",43,38,33,44,48,68
"TYROBP-201",0,0,0,0,0,0
"TYRP1-203",0,1,0,0,1,0
"TYSND1-201",24,31,17,17,36,20
"TYW1-201",30,47,27,28,44,45
"TYW1B-203",4,5,4,4,4,6
"TYW3-201",40,66,26,64,70,58
"TYW5-201",7,7,8,10,12,12
"U2AF1-201",0,0,0,0,0,0
"U2AF1L4-203",0,3,0,0,2,0
"U2AF1L5-201",0,0,0,0,0,0
"U2AF2-201",496,572,364,647,768,571
"U2SURP-208",549,666,380,733,869,737
"U52112.1-202",0,0,0,0,0,0
"UACA-201",140,224,114,281,307,251
"UAP1-201",105,130,74,142,147,118
"UAP1L1-202",7,9,10,16,13,11
"UBA1-201",632,768,513,1036,1252,939
"UBA2-201",700,781,543,729,864,682
"UBA3-202",47,43,46,50,64,53
"UBA5-202",58,99,43,84,95,86
"UBA52-202",274,367,238,481,538,455
"UBA6-201",123,163,70,196,189,184
"UBA7-201",3,5,0,0,4,0
"UBAC1-201",70,90,58,93,84,93
"UBAC2-203",32,36,21,48,40,25
"UBALD1-201",21,33,19,34,35,33
"UBALD2-201",26,27,20,24,47,33
"UBAP1-201",49,46,37,74,80,71
"UBAP1L-203",2,1,1,0,0,0
"UBAP2-204",232,268,166,251,261,254
"UBAP2L-207",880,1053,620,1064,1249,974
"UBASH3A-201",0,1,0,0,0,0
"UBASH3B-201",13,7,11,12,22,14
"UBB-201",442,554,401,796,951,729
"UBC-205",398,476,303,674,795,739
"UBD-203",0,0,0,0,0,0
"UBE2A-202",24,40,13,56,58,55
"UBE2B-201",11,17,7,21,35,18
"UBE2C-204",63,69,59,85,110,97
"UBE2D1-201",16,21,8,17,27,29
"UBE2D2-202",30,46,34,60,72,73
"UBE2D3-210",65,78,47,86,95,75
"UBE2D4-201",11,11,2,4,6,7
"UBE2E1-201",71,76,55,71,105,92
"UBE2E2-202",10,22,15,17,21,17
"UBE2E3-202",64,43,32,63,66,53
"UBE2F-223",12,5,10,3,9,4
"UBE2F-SCLY-201",0,0,0,0,0,0
"UBE2G1-201",19,22,16,25,29,30
"UBE2G2-202",41,51,35,74,98,44
"UBE2H-201",23,22,11,26,39,40
"UBE2I-202",70,67,57,93,117,114
"UBE2J1-201",34,55,22,39,54,65
"UBE2J2-202",59,70,45,64,88,67
"UBE2K-201",56,77,39,82,88,85
"UBE2L3-201",87,112,86,156,189,108
"UBE2L5-203",1,1,0,0,2,0
"UBE2L6-201",4,0,2,2,2,2
"UBE2M-201",72,100,68,134,169,155
"UBE2N-201",51,79,41,69,55,65
"UBE2O-201",251,278,175,267,290,198
"UBE2Q1-201",178,261,146,247,292,245
"UBE2Q2-201",58,59,45,78,75,61
"UBE2Q2L-201",6,7,9,7,4,7
"UBE2QL1-201",6,5,2,4,2,2
"UBE2R2-201",84,105,88,109,128,115
"UBE2S-201",184,234,153,296,329,306
"UBE2T-201",39,53,36,94,88,84
"UBE2U-201",0,0,0,0,0,0
"UBE2V1-203",1,3,0,2,2,8
"UBE2V2-207",35,43,31,45,41,38
"UBE2W-203",0,0,0,0,0,0
"UBE2Z-201",24,43,36,23,39,31
"UBE3A-228",137,231,104,173,220,187
"UBE3B-202",62,78,47,75,87,68
"UBE3C-201",237,314,197,232,289,241
"UBE3D-203",13,15,15,13,16,14
"UBE4A-201",175,208,143,244,277,215
"UBE4B-201",169,206,126,223,207,210
"UBFD1-201",67,98,47,89,120,88
"UBIAD1-202",15,14,10,16,23,17
"UBL3-201",5,4,3,5,6,0
"UBL4A-202",21,15,12,18,22,15
"UBL4B-201",0,1,0,0,0,0
"UBL5-201",29,20,21,24,52,48
"UBL7-209",40,83,44,66,77,62
"UBLCP1-201",64,70,43,79,100,86
"UBN1-202",176,224,112,144,199,145
"UBN2-201",162,197,101,154,148,158
"UBOX5-201",11,11,7,9,14,13
"UBP1-202",158,183,118,158,237,183
"UBQLN1-202",158,181,122,245,296,226
"UBQLN2-201",66,97,38,102,128,115
"UBQLN3-201",0,1,0,0,0,0
"UBQLN4-201",140,136,93,172,176,169
"UBQLNL-201",0,0,0,0,0,1
"UBR1-201",93,117,79,112,139,89
"UBR2-201",151,146,93,186,229,172
"UBR3-201",111,133,75,112,106,126
"UBR4-204",631,751,464,916,1089,836
"UBR5-207",389,366,283,422,550,416
"UBR7-201",64,78,43,93,130,93
"UBTD1-201",15,7,4,12,11,13
"UBTD2-201",44,69,62,60,93,59
"UBTF-201",394,521,270,490,584,517
"UBTFL1-201",0,0,0,0,3,0
"UBXN1-202",218,224,136,311,341,243
"UBXN10-201",0,0,0,0,0,0
"UBXN11-206",23,28,15,25,40,20
"UBXN2A-201",13,31,12,29,32,34
"UBXN2B-201",19,23,26,23,25,32
"UBXN4-201",141,188,97,171,246,220
"UBXN6-201",73,67,47,40,66,61
"UBXN7-201",103,137,95,174,186,184
"UBXN8-201",14,23,7,19,22,17
"UCHL1-201",105,150,100,161,193,155
"UCHL3-201",93,84,62,104,124,92
"UCHL5-206",115,145,85,148,197,223
"UCK1-204",33,19,12,20,29,23
"UCK2-201",91,93,53,93,150,64
"UCKL1-203",29,35,21,63,52,47
"UCMA-201",0,0,0,0,0,0
"UCN-201",1,2,2,1,1,0
"UCN2-201",0,0,0,0,0,0
"UCN3-201",0,0,0,0,0,0
"UCP1-201",0,0,0,0,0,0
"UCP2-201",32,29,14,49,36,38
"UCP3-201",1,3,0,1,0,0
"UEVLD-205",7,15,8,11,20,15
"UFC1-201",38,56,31,39,66,38
"UFD1-201",52,77,49,73,110,84
"UFL1-201",89,95,48,126,146,122
"UFM1-201",2,8,1,8,5,9
"UFSP1-201",0,0,0,0,1,0
"UFSP2-201",12,31,15,28,32,19
"UGCG-201",12,8,13,14,15,9
"UGDH-201",35,51,26,63,69,54
"UGGT1-201",226,236,166,277,350,255
"UGGT2-203",31,41,20,45,60,55
"UGP2-201",31,43,18,49,74,58
"UGT1A1-201",0,0,0,0,0,0
"UGT1A10-201",0,0,0,0,0,0
"UGT1A3-201",0,0,0,0,0,0
"UGT1A4-201",0,0,0,0,0,0
"UGT1A5-201",0,0,0,0,0,0
"UGT1A6-201",0,0,0,0,0,0
"UGT1A7-201",0,0,0,0,0,0
