"transcript","20200717-NSP1-HEK-1-setB","20200717-NSP1-HEK-2-setB","20200717-NSP1-HEK-3-setB","20200717-NSP2-HEK-1-setB","20200717-NSP2-HEK-2-setB","20200717-NSP2-HEK-3-setB"
"AC027796.3-201",0,0,0,0,0,0
"AC036214.3-201",1,1,0,0,1,0
"AC037459.1-202",0,0,0,0,0,0
"AC040162.1-202",0,2,0,0,3,0
"AC046185.1-201",0,0,0,0,0,0
"AC048338.1-201",0,0,0,0,0,0
"AC055811.2-201",0,0,0,0,0,0
"AC058822.1-201",0,0,0,0,0,0
"AC067752.1-206",1,0,0,0,0,0
"AC067968.1-201",1,1,3,0,1,0
"AC068234.1-201",0,0,0,0,0,0
"AC068547.1-203",0,0,0,0,0,0
"AC068580.4-203",0,0,0,0,0,0
"AC068775.1-201",0,0,0,0,0,1
"AC068790.8-201",0,0,0,0,0,0
"AC068831.7-201",0,0,0,0,0,0
"AC068896.1-201",1,0,0,0,0,0
"AC068946.1-202",0,0,0,0,0,0
"AC068946.2-201",0,0,0,0,0,0
"AC068987.5-201",0,0,0,1,1,0
"AC069257.3-201",0,0,0,0,0,0
"AC069444.2-201",0,0,0,0,0,0
"AC069503.2-201",0,0,0,0,0,0
"AC073082.1-201",0,0,0,0,0,0
"AC073111.5-204",1,1,0,1,1,0
"AC073283.3-201",0,0,0,0,0,0
"AC073508.2-202",0,0,0,0,0,0
"AC073610.2-201",0,0,0,0,0,0
"AC073610.3-201",0,1,1,1,1,1
"AC073612.1-201",0,0,0,0,0,0
"AC074143.1-203",0,0,0,0,0,0
"AC078927.1-201",0,0,0,0,0,0
"AC079447.1-201",0,0,0,0,0,0
"AC079594.2-201",0,0,0,0,0,0
"AC084121.11-201",0,0,0,0,0,0
"AC084121.12-201",0,0,0,0,0,0
"AC084121.13-201",0,0,0,0,0,0
"AC084121.5-201",0,0,0,0,0,0
"AC084121.6-201",0,0,0,0,0,0
"AC084121.7-201",0,0,0,0,0,0
"AC084121.8-201",0,0,0,0,0,0
"AC084121.9-201",0,0,0,0,0,0
"AC084337.2-202",0,0,0,0,0,0
"AC087289.3-203",0,0,0,0,0,0
"AC087498.1-201",0,0,0,1,0,0
"AC087632.1-208",0,0,0,0,0,0
"AC087721.2-201",0,0,0,0,0,0
"AC090004.1-201",0,0,0,1,0,0
"AC090227.1-201",0,0,0,0,0,0
"AC090360.1-202",0,0,0,0,0,0
"AC090517.4-201",0,0,0,0,0,0
"AC091057.6-203",0,0,0,0,0,0
"AC091167.2-201",0,0,0,0,0,0
"AC091167.6-201",10,12,13,7,17,6
"AC091167.7-201",0,0,0,0,0,0
"AC091551.1-201",0,0,0,0,0,0
"AC091959.3-201",4,4,3,7,5,4
"AC092042.3-203",0,0,0,0,0,0
"AC092111.3-201",0,0,0,0,0,0
